127.0.0.1 - - [30/May/2018:19:11:26 -0300] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [30/May/2018:19:11:28 -0300] "GET /roupas/faces/Default.xhtml HTTP/1.1" 200 1101
0:0:0:0:0:0:0:1 - - [30/May/2018:19:11:28 -0300] "GET /roupas/faces/resources/css/style.css HTTP/1.1" 200 930
0:0:0:0:0:0:0:1 - - [30/May/2018:19:11:32 -0300] "GET /roupas/faces/Registrar.xhtml HTTP/1.1" 200 1819
0:0:0:0:0:0:0:1 - - [30/May/2018:19:11:32 -0300] "GET /roupas/faces/resources/js/Funcoes.js HTTP/1.1" 200 1525
0:0:0:0:0:0:0:1 - - [30/May/2018:19:11:43 -0300] "GET /roupas/faces/Registrar.xhtml?j_idt10=&j_idt12=&j_idt14=&j_idt16=&j_idt18=&j_idt20=&j_idt22=Registrar HTTP/1.1" 200 1819
0:0:0:0:0:0:0:1 - - [30/May/2018:19:11:43 -0300] "GET /roupas/faces/resources/js/Funcoes.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2018:19:11:55 -0300] "GET /roupas/faces/Default.xhtml HTTP/1.1" 200 1101
0:0:0:0:0:0:0:1 - - [30/May/2018:19:11:55 -0300] "GET /robots.txt HTTP/1.1" 404 971
0:0:0:0:0:0:0:1 - - [30/May/2018:19:11:56 -0300] "GET /roupas/faces/resources/css/style.css HTTP/1.1" 200 930
0:0:0:0:0:0:0:1 - - [30/May/2018:19:11:57 -0300] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [30/May/2018:19:11:58 -0300] "GET /roupas/faces/Registrar.xhtml HTTP/1.1" 200 1819
0:0:0:0:0:0:0:1 - - [30/May/2018:19:11:58 -0300] "GET /roupas/faces/resources/js/Funcoes.js HTTP/1.1" 200 1525
0:0:0:0:0:0:0:1 - - [30/May/2018:19:23:32 -0300] "GET /roupas/faces/Registrar.xhtml HTTP/1.1" 200 2116
0:0:0:0:0:0:0:1 - - [30/May/2018:19:23:32 -0300] "GET /roupas/faces/resources/js/Funcoes.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2018:19:24:17 -0300] "GET /roupas/faces/Registrar.xhtml HTTP/1.1" 200 2116
0:0:0:0:0:0:0:1 - - [30/May/2018:19:24:17 -0300] "GET /roupas/faces/resources/js/Funcoes.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2018:19:24:20 -0300] "GET /roupas/faces/Registrar.xhtml?j_idt10=&j_idt12=&j_idt14=&j_idt16=&j_idt18=&j_idt20=&j_idt22=Registrar HTTP/1.1" 200 2116
0:0:0:0:0:0:0:1 - - [30/May/2018:19:24:21 -0300] "GET /roupas/faces/Default.xhtml HTTP/1.1" 200 1101
0:0:0:0:0:0:0:1 - - [30/May/2018:19:24:22 -0300] "GET /roupas/faces/Registrar.xhtml HTTP/1.1" 200 2116
0:0:0:0:0:0:0:1 - - [30/May/2018:19:24:45 -0300] "GET /roupas/faces/Registrar.xhtml HTTP/1.1" 200 2071
0:0:0:0:0:0:0:1 - - [30/May/2018:19:24:45 -0300] "GET /roupas/faces/resources/css/style.css HTTP/1.1" 200 1023
0:0:0:0:0:0:0:1 - - [30/May/2018:19:24:45 -0300] "GET /roupas/faces/resources/js/Funcoes.js HTTP/1.1" 200 1525
0:0:0:0:0:0:0:1 - - [30/May/2018:19:24:45 -0300] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [30/May/2018:19:24:48 -0300] "GET /roupas/faces/Registrar.xhtml?j_idt10=&j_idt12=&j_idt14=&j_idt16=&j_idt18=&j_idt20=&j_idt22=Registrar HTTP/1.1" 200 2071
0:0:0:0:0:0:0:1 - - [30/May/2018:19:25:14 -0300] "GET /roupas/faces/Registrar.xhtml HTTP/1.1" 200 2116
0:0:0:0:0:0:0:1 - - [30/May/2018:19:25:14 -0300] "GET /roupas/faces/resources/js/Funcoes.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2018:19:25:17 -0300] "GET /roupas/faces/Registrar.xhtml?j_idt10=&j_idt12=&j_idt14=&j_idt16=&j_idt18=&j_idt20=&j_idt22=Registrar HTTP/1.1" 200 2116
0:0:0:0:0:0:0:1 - - [30/May/2018:19:26:53 -0300] "GET /roupas/faces/Registrar.xhtml HTTP/1.1" 200 2131
0:0:0:0:0:0:0:1 - - [30/May/2018:19:26:53 -0300] "GET /roupas/faces/resources/js/Funcoes.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2018:22:07:09 -0300] "GET /roupas/faces/Registrar.xhtml HTTP/1.1" 200 2178
0:0:0:0:0:0:0:1 - - [30/May/2018:22:07:09 -0300] "GET /roupas/faces/resources/css/style.css HTTP/1.1" 200 1023
0:0:0:0:0:0:0:1 - - [30/May/2018:22:07:09 -0300] "GET /roupas/faces/resources/js/Funcoes.js HTTP/1.1" 200 408
0:0:0:0:0:0:0:1 - - [30/May/2018:22:07:57 -0300] "GET /roupas/faces/Registrar.xhtml?j_idt10=1237%27&j_idt12=&j_idt14=&j_idt16=&j_idt18=&j_idt20=&j_idt22=Registrar HTTP/1.1" 200 2178
0:0:0:0:0:0:0:1 - - [30/May/2018:22:07:57 -0300] "GET /roupas/faces/resources/js/Funcoes.js HTTP/1.1" 304 -
